식품명,1회제공량,에너지,단백질,지방,탄수화물,당류,나트륨,콜레스테롤,포화지방산,트랜스지방산
24티비엘브이디24TBLVD)티리프트,30g,46.15㎉,0.16g,0.33g,10.64g,6.55g,0.0㎎,0g,0.25g,0g
AQUA아쿠아)유기농사탕,10.0g,4.12㎉,0g,0g,1g,0.75g,0㎎,0g,0g,0g
AQUA아쿠아)트리탑후르츠스넥,10g,3.08㎉,0.04g,0g,0.69g,0.75g,0.77㎎,0g,0g,0g
BS시스템)뉴숯불갈비맛삼각김밥,100g,161.87㎉,3.94g,2.16g,31.67g,9.87g,297.06㎎,0g,0.34g,0.01g
BS시스템)베이컨앤에그샌드위치,150g,566.62㎉,20.6g,23.26g,68.72g,1.6g,1197.17㎎,0g,3.03g,0g
BS시스템)참치김치삼각김밥,100g,158.11㎉,3.66g,2.27g,30.75g,0.26g,258.83㎎,0g,0.24g,0g
BS시스템)참치마요네즈삼각김밥,100g,173.62㎉,3.66g,4.64g,29.29g,9.87g,304.89㎎,0g,0.48g,0g
BS시스템)크랜베리치킨샌드위치,150g,564.46㎉,20.34g,29.31g,54.82g,0.83g,745.83㎎,0g,0.62g,0g
BS시스템)통통한닭가슴살김밥,100g,148.81㎉,4.08g,3.39g,25.49g,0.48g,506.96㎎,0g,0.24g,0g
BS시스템)통통한불고기김밥,100g,144.21㎉,4.24g,2.94g,25.19g,0.45g,351.62㎎,0g,0.25g,0.01g
BS시스템)통통한참치김밥,100g,154.1㎉,4.86g,5.56g,21.15g,0.32g,389.89㎎,0g,0.18g,0g
BS시스템)통통한한줄김밥,100g,116.6㎉,3.62g,1.74g,21.61g,0.5g,450.89㎎,0g,0.22g,0g
BS시스템)핫치킨앤치즈샌드위치,150g,489.24㎉,17.99g,16.52g,67.16g,1.3g,840.65㎎,0g,2.28g,0.04g
BS시스템)햄감자샌드위치,150g,482.78㎉,17.58g,22.01g,53.59g,2.05g,639.73㎎,0g,5.01g,0g
CJ)100%국산고추장,100.0mL,245.0㎉,5g,3.0g,49.0g,27g,2340.0㎎,0g,1.0g,0g
CJ)100%스페인산올리브유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.04g,0g
CJ)100%캐나다산카놀라유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.02g,0g
CJ)100%코코넛오일플레인,100.0g,900㎉,0g,100g,0g,0g,0㎎,0g,92g,0g
CJ)100%통들깨들기름,100.0mL,830.0㎉,0.0g,92.0g,0.0g,0g,0.0㎎,0g,9g,0g
CJ)100%통참깨참기름,100.0mL,830.0㎉,0g,92.0g,0.0g,0g,0.0㎎,0g,16.0g,0g
CJ)5가지자연에서얻은재료부침가루,100.0g,365㎉,0g,0g,0g,0.3g,490㎎,0g,0g,0g
CJ)5가지자연에서얻은재료튀김가루,100.0g,365㎉,8g,1.5g,80g,0g,590㎎,0g,0.5g,0g
CJ)8가지국산양념쌈장,100.0g,200.0㎉,9.0g,4.0g,32.0g,18g,1830.0㎎,0g,0.9g,0g
CJ)CBL씨비엘,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.16g,0g
CJ)CJ비비고군만두,450.0g,920㎉,28g,48g,94g,13g,1320.0㎎,0g,15g,0.3g
CJ)CJ비비고김치왕교자,420.0g,735㎉,27g,25g,100g,12g,1680㎎,0g,8g,1g
CJ)CJ비비고물만두,370.0g,715㎉,28g,35g,71g,10g,1530.0㎎,0g,11g,0.3g
CJ)CJ비비고새우왕교자,315.0g,555㎉,25g,21g,67g,7g,1280㎎,0g,8g,0g
CJ)CJ비비고왕교자,100.0g,215㎉,7g,11g,22g,2g,310㎎,0g,4g,0g
CJ)CJ비비고찐만두,392.0g,745㎉,23g,43g,67g,9g,1180㎎,0g,15g,0.5g
CJ)CJ비비고청양고추찐만두,392.0g,585.0㎉,24g,35.0g,44.0g,7g,1140.0㎎,0g,13.0g,1.2g
CJ)CJ비비고한섬만두,384.0g,760㎉,0g,0g,0g,10g,1340㎎,60g,14g,0.5미만g
CJ)CJ포도씨유,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.02g,0g
CJ)CJ프레시안생야채와돼지고기물만두,150g,255.0㎉,9.6g,12g,27g,4.37g,720.0㎎,0g,5.1g,0g
CJ)CJ프레시안생야채와돼지고기손만두,150g,495.0㎉,16.65g,18g,65.25g,5.66g,900.0㎎,0g,6.07g,0.68g
CJ)CJ프레시안생야채와돼지고기왕만두,150g,247.5㎉,10.5g,10.5g,28.5g,5.66g,585.0㎎,0g,3.45g,0g
CJ)CJ프레시안우리손만두,150g,285.0㎉,12g,13.5g,30g,5.66g,465.0㎎,0g,4.95g,0g
CJ)CJ황금참기름,5g,2.25㎉,0g,0.25g,0g,0.0g,0.0㎎,0g,0.04g,0g
CJ)The더건강한그릴김밥햄,100.0g,225.0㎉,14g,17.0g,4.0g,2g,590.0㎎,0g,6.0g,0g
CJ)The더건강한그릴비엔나,30.0g,275.0㎉,13g,24.0g,2.0g,2g,780.0㎎,0g,8.0g,0g
CJ)The더건강한그릴비엔나치즈,100.0g,295.0㎉,14g,25.0g,3.0g,2g,660.0㎎,0g,9.0g,0g
CJ)The더건강한그릴후랑크소시지,100.0g,250.0㎉,14g,20.0g,3.0g,1.48g,640.0㎎,0g,7.0g,0g
CJ)The더건강한브런치슬라이스오리지널,100.0g,120㎉,19g,2.9g,4g,1g,850㎎,0g,1.2g,0g
CJ)The더건강한브런치후랑크오리지널,100.0g,250.0㎉,12g,21.0g,3.0g,2g,650.0㎎,0g,7.0g,0g
CJ)The더건강한샌드위치햄,100.0g,260.0㎉,15g,21.0g,3.0g,2g,590.0㎎,0g,7.0g,0g
CJ)The더건강한의성마늘햄,30.0g,60.0㎉,4g,5.0g,1.0g,0g,190.0㎎,0g,1.0g,0g
CJ)The더건강한자연에서얻은재료로만든구우면맛있는햄,100.0g,270.0㎉,14g,22.0g,4.0g,2g,650.0㎎,0g,8.0g,0g
CJ)The더건강한자연에서얻은재료로만든그릴김밥햄,100.0g,260.0㎉,16g,21.0g,2.0g,1g,320.0㎎,0g,7.0g,0g
CJ)The더건강한자연에서얻은재료로만든그릴후랑크,100.0g,265.0㎉,15g,21.0g,4.0g,1g,440.0㎎,0g,7.0g,0g
CJ)The더건강한자연에서얻은재료로만든샌드위치햄,100.0g,260.0㎉,15g,21.0g,3.0g,2g,590.0㎎,0g,7.0g,0g
CJ)The더건강한통목살스테이크,100.0g,225㎉,0g,0g,0g,1g,580㎎,80g,5g,0g
CJ)The더건강한통크게썰어넣은후랑크어니언,100.0g,290㎉,0g,0g,0g,1g,860㎎,55g,8g,0g
CJ)The더건강한햄,100.0g,285.0㎉,15g,23.0g,4.0g,2g,710.0㎎,0g,7.0g,0g
CJ)The더건강한햄치즈,100.0g,330㎉,13g,30g,2g,1g,640㎎,0g,11g,0g
CJ)The더건강한햄클래식,100.0g,330.0㎉,14g,30.0g,1.0g,1g,600.0㎎,0g,11.0g,0g
CJ)The더건강한햄페퍼갈릭,100.0g,330.0㎉,14g,29.0g,3.0g,1g,660.0㎎,0g,10.0g,0g
CJ)The더건강한후랑크소시지,100.0g,275.0㎉,13g,24.0g,2.0g,1g,730.0㎎,0g,8.0g,0g
CJ)VIPS고르곤졸라피자,70g,126.57㎉,4.9g,3.67g,17.98g,3.28g,171.5㎎,0g,1.81g,0g
